;0;1;2;3;4;5;6;7;8;9
31;190104;84079;2024-10-11;44;30051;3,289;5,3591;83624,5019;361248,0673;SSA
32;3090104;83828;2024-10-10;47;18495;3,4734;6,0733;38264,2347;250882,7032;SSA
33;3010206;84124;2024-10-12;43;28616;3,0615;5,464;46428,2752;347892,3081;SSA
34;1970102;84519;2024-10-14;45;18248;2,9932;5,7733;3995,2296;241847,7678;SSA
35;3010208;84126;2024-10-12;43;26812;3,2048;5,7103;46209,9088;340543,9905;SSA
36;3840104;84021;2024-10-07;46;40438;2,7948;4,9898;43118,2076;465564,0539;SSA
37;3350106;83742;2024-10-07;45;30667;2,8371;5,1514;27631,107;363986,556;SSA
38;3840108;84037;2024-10-08;46;38825;3,0957;5,471;60708,9913;480263,7517;SSA
39;1880101;84159;2024-10-16;46;18435;2,6728;5,0294;18809,0734;202966,3195;SSA
40;1990101;84080;2024-10-11;45;21145;2,8497;4,9263;34829,3194;236390,3711;SSA
41;2750102;84091;2024-10-15;46;18388;3,0499;6,0333;1902,2563;250523,9699;SSA
42;3880104;84022;2024-10-09;46;41064;2,7839;5,0712;41638,2313;472900,5453;SSA
43;3090103;83827;2024-10-10;47;19249;3,0158;5,4574;16144,7099;245146,903;SSA
44;2490101;84113;2024-10-16;47;21723;2,5511;4,841;9380,5178;240057,3705;SSA
45;1700204;83816;2024-10-12;47;29790;3,278;6,1051;35876,2537;403652,6646;SSA
46;3350101;83751;2024-10-07;46;30261;3,2277;5,6943;48134,5721;391496,1169;SSA
47;2100101;84143;2024-10-15;47;19263;2,7185;4,8723;38281,0;197421,6777;SSA
48;3010101;84119;2024-10-12;44;30325;2,5804;4,3425;46184,4907;306027,3755;SSA
49;3840213;84052;2024-10-07;44;37590;2,8944;4,733;78641,3341;411064,3337;SSA
50;190101;84076;2024-10-11;44;20875;2,8348;4,9662;28882,0368;237468,6467;SSA
51;190103;84078;2024-10-12;45;31281;2,9608;5,1992;48939,5954;367922,5225;SSA
52;2100102;84144;2024-10-15;47;20330;2,6647;4,8361;18471,0131;225367,0693;SSA
53;2490102;84114;2024-10-16;47;21090;2,7224;4,8933;23021,9616;235403,7083;SSA
54;3010416;84134;2024-10-14;45;29698;3,1823;5,5;59597,5325;365776,5521;SSA
55;3010103;84121;2024-10-12;44;30408;2,6187;4,5853;38044,2905;320374,1615;SSA
56;3840209;84038;2024-10-09;47;36367;2,8067;5,2625;5320,871;454104,1394;SSA
57;1700203;83815;2024-10-11;46;30681;2,8206;5,2931;20766,7383;368738,8175;SSA
58;1880102;84157;2024-10-16;46;17664;3,1826;5,5782;46375,7542;206657,5676;SSA
59;3010413;84131;2024-10-14;45;31300;2,6075;4,6095;34190,3656;333150,7209;SSA
60;3880108;84029;2024-10-09;44;40190;2,7932;4,7898;64715,6777;440554,7425;SSA
61;2100207;84151;2024-10-15;47;17663;3,4565;6,7136;11685,9561;263109,7482;SSA
62;3010104;84122;2024-10-12;44;28770;3,1234;5,0874;74757,2651;329702,653;SSA
63;3010414;84132;2024-10-14;45;30161;3,0934;5,3689;57562,2608;362384,4283;SSA
64;3010415;84133;2024-10-14;45;29645;2,761;4,8823;64024,136;304384,7507;SSA
65;2370102;84092;2024-10-11;43;19286;3,0393;5,2639;27294,1477;236537,5126;SSA
66;3880101;84024;2024-10-08;43;39861;2,7241;4,2138;86974,4655;401761,8281;SSA
67;1990102;84081;2024-10-11;45;19926;3,302;5,5812;49384,6723;246764,2384;SSA
68;3820207;84103;2024-10-10;44;40463;3,1049;5,5447;67152,5819;498322,1651;SSA
69;1990104;84083;2024-10-12;46;9973;3,0292;5,327;26290,3373;109686,3938;SSA
70;3350105;83754;2024-10-07;45;29313;3,8013;6,2941;87584,209;413947,4888;SSA
71;3820206;84102;2024-10-09;43;42225;2,5353;4,6313;33497,5122;448345,4798;SSA
72;190102;84077;2024-10-11;44;19888;3,1567;5,2249;47131,0512;235441,9948;SSA
73;3010207;84125;2024-10-14;45;27808;2,8983;5,7012;9045,9234;353718,922;SSA
74;2590101;84530;2024-10-16;46;21395;3,4501;5,5538;89822,0472;242422,082;SSA
75;1700205;83817;2024-10-11;46;29704;3,1945;5,8209;42082,3625;385008,9582;SSA
76;3880103;84026;2024-10-09;46;38432;3,1974;5,9287;47273,8236;505812,4792;SSA
77;1880103;84160;2024-10-15;45;17638;3,4435;6,9744;24101,7391;249269,3104;SSA
78;120102;84110;2024-10-12;46;20724;2,8968;4,826;37504,0645;232702,34;SSA
79;3010102;84120;2024-10-12;44;27713;2,7912;4,5802;53555,5128;294611,9927;SSA
80;1540102;84061;2024-10-12;47;19413;3,3486;6,3613;20623,6168;271966,5933;SSA
81;2750104;84094;2024-10-15;46;18806;2,9078;5,5832;4380,2668;241750,6191;SSA
82;3010311;84129;2024-10-14;45;28747;3,1963;5,6285;50019,943;363549,0732;SSA
83;2370101;84089;2024-10-11;43;19258;2,6719;4,8114;11777,6957;219819,4373;SSA
84;2100206;84150;2024-10-14;46;19045;3,387;6,4559;21648,8291;268685,8479;SSA
85;3840105;84034;2024-10-07;45;39437;3,0622;5,2152;117352,3116;426200,9447;SSA
86;2490103;84115;2024-10-16;47;19507;2,7808;5,0916;18545,8473;225614,9021;SSA
87;3820204;84100;2024-10-10;43;20585;2,5267;4,4234;20744,1437;213359,1868;SSA
88;2970102;84096;2024-10-15;45;21182;2,7522;5,0779;13237,1521;249155,857;SSA
89;2750101;84090;2024-10-14;45;18306;3,3891;6,2879;13805,3841;265437,092;SSA
90;1540101;84060;2024-10-11;46;20468;2,7309;5,137;12974,8537;238617,2452;SSA
91;3840216;84055;2024-10-09;46;37710;2,7919;4,9108;83219,8483;390651,5042;SSA
92;3350110;83746;2024-10-08;45;30595;2,6477;4,739;25266,1006;339337,4141;SSA
93;3840107;84036;2024-10-07;45;40794;2,6804;4,7397;44885,235;447272,3729;SSA
94;3090101;83825;2024-10-10;47;18427;3,4365;6,005;35480,9814;249539,1369;SSA
95;3350107;83743;2024-10-08;46;28564;3,2604;5,9142;34027,4723;385147,008;SSA
96;3820205;84101;2024-10-10;43;17804;2,8609;4,9205;23970,6961;205286,3257;SSA
97;3880107;84028;2024-10-08;43;39103;2,3304;4,0103;28717,2618;381438,5694;SSA
98;1990103;84082;2024-10-11;45;19173;3,1047;5,3453;36967,8583;230959,0438;SSA
99;3880106;84023;2024-10-09;46;39426;3,4456;5,13;154649,3465;456796,3209;SSA
100;1700206;83818;2024-10-11;46;31428;2,6879;5,0879;17069,7519;363150,6511;SSA
101;3840211;84030;2024-10-08;46;39560;2,5074;4,7343;8225,6644;438234,8372;SSA
102;2930101;84511;2024-10-16;46;21757;2,6264;4,6411;23907,4982;233289,9282;SSA
103;3010312;84130;2024-10-14;45;31367;2,6848;4,7943;35182,1478;343872,6439;SSA
104;3010310;84128;2024-10-12;43;31000;2,5675;4,402;40607,1406;317638,5827;SSA
105;1880104;84158;2024-10-15;45;19152;2,9473;5,7213;22007,4683;232062,5573;SSA
106;1970101;84518;2024-10-15;46;19093;3,1285;6,0252;9215,0682;259643,5148;SSA
107;3820208;84104;2024-10-10;44;42370;2,6234;4,8531;32795,7153;467512,3294;SSA
108;3840106;84035;2024-10-08;46;39830;3,1321;5,4409;116822,5687;444679,9074;SSA
109;2100103;84147;2024-10-14;46;20276;3,1923;5,7315;32319,6849;259013,8291;SSA
